date,number_of_rides,number_of_riders,number_of_vehicles_used,median_ride_distance_meters,median_avg_speed,median_ride_duration,number_of_ready_vehicles
2019-12-12,5144,3900,1921,1287.2941735524826,14.241782585569421,5.5,3274
2020-09-22,13333,7454,3214,1286.1880097352496,12.430740281850417,6.6,4847
2021-09-04,25834,13737,5447,1359.0170469287673,11.748089251550383,7.583333,6984
2018-12-07,4139,3084,784,714.5910597721848,7.331684372145574,6.45,NA
2019-04-21,5815,3824,944,792.929178819018,4.667916071243124,10.616667,NA
2020-11-27,9948,5588,2337,1082.812101233299,11.459461528775382,6.033333,2848
2018-12-21,2441,1828,595,715.9216454655432,7.508336622276117,6.516667,NA
2021-01-28,2,2,2,798.4153615206991,7.3832270132522915,7.191667,2702
2019-06-11,8956,6511,1569,847.4300716186693,8.66590297381035,6.966667,NA
2020-07-30,7752,4433,2315,1167.8343071425093,11.377685378513881,6.683333,4312
2021-03-18,6728,3717,1925,1277.2106718958557,12.867919360549529,6.35,2916
2019-10-27,5861,4433,2638,1299.2210180890747,13.579532040430543,5.883333,5749
2019-09-01,10074,7342,2713,827.870959579416,8.26268734022441,6.95,4814
2020-08-26,14895,8393,2830,1286.7501530819782,12.192357025477255,6.816667,4357
2021-07-17,33602,13750,4934,1722.6587571864775,11.427928105674349,9.716667,6266
2021-05-12,19501,9813,3806,1455.3720445952804,12.538894237342364,7.533333,4681
2019-03-01,3903,2820,838,757.1515281429059,7.746040632892104,6.583333,NA
2020-08-05,12089,6474,2622,1310.097893878023,11.547903076579228,7.333333,3301
2021-01-10,2596,1424,1061,1028.1315666678897,10.338636271690024,6.283333,2831
2020-02-03,4073,3057,1392,1324.6855448815966,14.861559664823677,5.433333,2287
2021-06-23,26245,13197,4476,1489.4420645547618,12.448279586400183,7.683333,5565
2019-11-20,8925,6338,3312,1344.3221191821137,14.339090049111531,5.75,6465
2021-04-29,11642,6181,2719,1330.8192602730917,12.927433155474116,6.616667,3376
2020-01-30,4928,3623,1466,1321.9925915056542,14.600995155483805,5.55,2385
2020-08-06,13641,7300,2788,1330.409360236153,11.630178820246174,7.466667,3365
2019-09-29,8213,5986,2774,1325.5883210771967,12.780720282801408,6.45,5613
2019-11-09,6832,5107,3027,1186.2085215126206,12.762348785441967,5.816667,6125
2021-03-12,5738,3322,1825,1217.1335465299949,11.862460838920384,6.483333,2906
2019-01-22,1313,1045,566,766.2946177406361,8.188213131018008,6.183333,NA
2019-12-17,5871,4250,1964,1326.0605821979655,14.425990274827209,5.65,3335
2021-03-27,8971,4867,2137,1391.962129886582,12.382140560802062,7.266667,2914
2019-02-28,3218,2270,740,771.6911921097503,8.568809299453182,6.225,NA
2020-08-12,14795,8075,2791,1378.484650012718,11.98417537933597,7.433333,3626
2020-08-29,9356,5731,2400,1073.3691150984714,11.307063132468837,6.2,4567
2020-01-12,2506,1957,1058,1351.9185814398827,14.394545084526287,5.733333,3689
2020-12-28,4554,2470,1582,1020.6165700209644,10.788283119640525,6.183333,2932
2021-07-24,34736,14683,5418,1621.999468041051,11.064316465316029,9.283333,6487
2019-06-29,20717,13914,2607,981.1145668709302,7.0076256430027914,9.116667,5893
2020-03-25,2865,2023,1074,1138.0138103070385,12.371547628260783,5.783333,3291
2020-06-17,8239,5466,2076,1205.6856664935387,12.184178201598051,6.216667,3634
2019-04-29,6465,4565,950,891.7137196137021,8.15410445182486,7.3,NA
2020-10-13,12295,6830,2786,1180.7243314254506,12.162352346264978,6.216667,4178
2020-12-07,6991,4057,1899,1135.8000518782048,11.764191124545183,6.25,2753
2020-10-31,10125,5471,2326,1170.7255340016984,10.858384603665133,6.833333,3237
2021-08-02,15289,7659,4342,1331.7822058297513,12.471422761599262,7.233333,6468
2020-04-10,3490,2498,1425,1181.9259409915894,11.70242700335641,6.433333,2805
2019-12-23,3892,2649,1453,1271.3933792515204,13.792859060429747,5.566667,2838
2018-09-21,1982,1372,282,0,0,7.733333,NA
2019-03-24,4529,3091,893,717.6343451981134,5.077291412443215,8.366667,NA
2019-10-21,8313,6012,3027,1335.85757794151,14.3729575543966,5.7,6147
2019-08-02,17286,11396,3303,855.9771042325592,7.864679283447017,7.45,4870
2019-02-23,2819,2059,747,753.0899073730485,5.843264691769803,8,NA
2021-06-19,34479,15704,4684,1659.8184059610655,11.285492904000433,9.6,5524
2019-11-18,7377,5299,3064,1299.973301148739,14.188172609994671,5.633333,6400
2020-09-13,9306,5363,2754,1241.5318158228029,11.83151873703973,6.733333,4144
2021-09-14,21283,11275,5346,1421.1477216888661,13.403220130255695,6.883333,7032
2020-09-06,8880,5179,2531,1227.1904645022228,11.860151558406447,6.733333,3654
2019-09-07,12527,8933,2984,814.4642388237362,7.998325172954752,6.866667,5083
2020-02-10,3737,2802,1385,1289.5466949400238,14.77182951553689,5.333333,2353
2019-04-07,3148,2231,588,761.2583414735932,6.086669237156541,7.933333,NA
2020-01-09,4262,3188,1351,1364.236401447034,14.944129016948128,5.583333,2799
2020-04-06,3157,2277,1255,1171.7702933618,12.082515368045087,6.15,2884
2021-09-08,24809,13041,5660,1427.7408623684603,13.215355987146381,7,6991
2021-01-31,1,1,1,778.6589192578244,11.53568769270851,4.05,2615
2018-10-28,3325,2331,634,0,0,9.533333,NA
2021-05-02,7912,4081,2196,1371.318157405202,12.44402340272833,7.125,3214
2021-02-17,124,83,62,1111.6806714452423,10.602858114288843,6.6333335,1196
2020-09-30,15368,8589,3272,1250.7468823505915,12.28719675599162,6.516667,4479
2018-11-15,3725,2745,613,0,0,6.783333,NA
2020-05-31,7349,5004,2192,1225.9367287071186,10.824510147219032,7.333333,3476
2019-05-24,11014,8012,1618,746.2815613788271,6.519976310151013,7.716667,NA
2018-11-08,3287,2431,562,0,0,6.883333,NA
2018-11-05,2831,2081,548,0,0,7.25,NA
2019-04-11,3400,2540,673,793.0981239872995,8.909001678625447,6,NA
2019-03-26,4083,2834,750,689.1161661417057,8.399666449882174,5.6,NA
2021-03-08,5224,2932,1702,1266.791355605531,12.366211347204622,6.6,2686
2020-08-30,8480,5055,2378,1224.8330745372757,11.576785235590116,6.85,3426
2020-12-26,2112,1237,984,1013.9403708522592,9.978976022930254,6.383333,2867
2021-07-25,25525,11218,5120,1685.0360317394352,11.70321303777063,9.35,6458
2018-09-14,1006,702,150,0,0,7.883333,NA
2019-10-15,8381,6048,3031,1290.7935699109614,14.093091453644968,5.666667,6563
2019-04-03,3592,2690,638,831.7963731845305,8.623783590154499,6.333333,NA
2020-05-03,3161,2311,1453,1177.9030272184648,12.042018083835623,6.183333,4427
2019-01-31,1327,991,638,685.7745619118359,7.243309517549012,6.283333,NA
2019-05-04,9618,6558,1266,789.1251801781643,4.939557770256625,9.433333,NA
2020-02-06,4596,3462,1412,1326.0064645025172,14.741725827340566,5.5,2205
2019-02-06,591,450,265,795.8981843828525,7.930211689687724,6.633333,NA
2019-03-15,3034,2254,800,722.4183051542207,8.160540044637305,5.883333,NA
2019-03-17,1965,1420,757,687.1750221760199,7.334887838490045,6.416667,NA
2021-02-23,3836,2186,1042,1268.4836653044022,11.706289978452983,6.85,1375
2019-07-25,15867,10055,3235,884.4438984753192,7.61040600301826,7.916667,5463
2021-01-26,3051,1628,1167,1154.625735841737,10.675315613831852,6.6,2743
2020-03-15,2000,1529,1188,1074.3435047372236,11.819451903433066,5.975,2713
2020-05-26,9299,6017,2430,1180.3936513365886,11.339841680642538,6.65,3876
2018-09-04,880,558,117,0,0,8,NA
2019-01-30,357,283,152,734.1253337423765,6.373469912931934,7.533333,NA
2021-04-15,10244,5539,2426,1372.1153830153144,12.977230447368678,6.8,3105
2021-03-30,8975,4893,2133,1426.2430078955624,13.174316036955172,6.9,2887
2019-06-28,19979,13745,2892,933.9824430646789,7.912466080370313,8,6733
